Manufacturer,Category,Screen_Size,RAM,GPU,Weight,Screen_resolution,IPS_Panel,Retina_Display,Touchscreen,Quad_HD_plus,GHz,Intel,AMD,Storage_Size,Storage_Size2,Storage_Type,Storage_Type2,os,Weight_KG,Price
HP,Ultrabook,14.0,4,Intel HD Graphics 620,1.48kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.48,288634.2
HP,Notebook,15.6,6,AMD Radeon 520,1.91kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.91,165124.19999999998
Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,1.74kg,1920x1080,1,0,1,0,2.4,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.74,167791.8
Asus,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,1.1kg,1920x1080,0,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.1,35078.7
Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,1.56kg,1920x1080,0,0,1,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.56,279831.0
Toshiba,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.2,1,0,500GB,NaN,HDD,NaN,Windows - 10,2.1,119241.59999999999
Asus,Notebook,15.6,4,AMD Radeon R5 M420,2.03kg,1366x768,0,0,0,0,3.0,0,1,1TB,NaN,HDD,NaN,Windows - 10,2.03,107504.09999999999
Acer,Notebook,17.3,4,Nvidia GeForce MX150,3kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.0,214741.8
Dell,Notebook,15.6,8,AMD Radeon 520,2.13kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.13,194201.1
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,2.5kg,1920x1080,1,0,0,0,2.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,287833.8
Acer,Notebook,15.6,4,Intel HD Graphics 500,2.1kg,1366x768,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,92832.3
MSI,Gaming,15.6,16,Nvidia GeForce GTX 1060,2.4kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.4,47990.1
Acer,Notebook,15.6,4,Intel HD Graphics 505,2.1kg,1366x768,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,96969.9
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.56kg,1920x1080,0,0,0,0,2.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.56,282896.1
Acer,Notebook,17.3,8,Nvidia GeForce MX150,3kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.0,227812.8
HP,Notebook,13.3,4,Intel UHD Graphics 620,1.49kg,1920x1080,1,0,0,0,1.6,1,0,500GB,NaN,HDD,NaN,Windows - 10,1.49,201136.8
Huawei,Ultrabook,13.0,8,Intel HD Graphics 620,1.05kg,2160x1440,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.05,35985.9
HP,Notebook,17.3,6,AMD Radeon 520,2.71kg,1920x1080,1,0,0,0,2.5,1,0,2TB,NaN,HDD,NaN,Windows - 10,2.71,186465.0
Lenovo,Notebook,15.6,4,AMD Radeon R4 Graphics,2.2kg,1366x768,0,0,0,0,2.9,0,1,500GB,NaN,HDD,NaN,No OS,2.2,82428.59999999999
Toshiba,Notebook,15.6,4,Intel HD Graphics 620,2kg,1366x768,0,0,0,0,2.4,1,0,500GB,NaN,HDD,NaN,Windows - 10,2.0,130445.4
HP,Notebook,17.3,8,Nvidia GeForce 930MX,2.5kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,246219.3
Dell,Notebook,15.6,8,Intel HD Graphics 620,2.3kg,1366x768,0,0,0,0,2.4,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.3,122442.59999999999
Acer,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.0,1,0,128GB,NaN,SSD,NaN,Windows - 10,2.1,119775.0
MSI,Gaming,18.4,32,Nvidia GTX 980 SLI,4.4kg,1920x1080,0,0,0,0,2.9,1,0,512GB,1TB,SSD ,HDD,Windows - 10,4.4,74666.09999999999
Lenovo,Notebook,15.6,8,AMD R17M-M1-70,1.90kg,1920x1080,0,0,0,0,2.5,1,0,128GB,1TB,SSD ,HDD,Windows - 10,1.9,216875.69999999998
HP,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.29kg,3840x2160,1,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.29,39987.299999999996
Dell,Notebook,15.6,16,AMD Radeon 530,2.02kg,1920x1080,0,0,0,0,1.8,1,0,256GB,2TB,SSD ,HDD,Linux,2.02,279831.0
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.23kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.23,37319.7
Lenovo,2 in 1 Convertible,13.9,16,Intel UHD Graphics 620,1.4kg,3840x2160,1,0,1,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.4,49323.9
Toshiba,Notebook,15.6,8,Intel HD Graphics 620,2.0kg,1366x768,0,0,0,0,2.5,1,0,128GB,NaN,SSD,NaN,Windows - 10,2.0,211540.5
Xiaomi,Notebook,15.6,8,Nvidia GeForce MX150,1.95kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,No OS,1.95,31984.5
Dell,Notebook,17.3,16,Nvidia GeForce 150MX,2.77kg,1920x1080,0,0,1,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,2.77,41321.1
Dell,Notebook,15.6,16,Nvidia GeForce GTX 1050,2.06kg,3840x2160,0,0,1,0,2.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,2.06,63942.299999999996
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.4kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,No OS,2.4,207805.8
Acer,Ultrabook,13.3,8,Intel HD Graphics 615,1.12kg,1920x1080,1,0,0,0,1.2,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.12,263825.39999999997
Dell,Notebook,17.3,8,AMD Radeon 530,2.8kg,1920x1080,0,0,0,0,1.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.8,289434.6
Lenovo,2 in 1 Convertible,14.0,16,Intel HD Graphics 620,1.42kg,2560x1440,0,0,1,0,2.7,1,0,1TB,NaN,SSD,NaN,Windows - 10,1.42,75333.0
Vero,Notebook,14.0,4,Intel HD Graphics 500,1.3kg,1920x1080,1,0,0,0,1.1,1,0,32GB,NaN,Flash Storage,NaN,Windows - 10,1.3,69357.59999999999
Xiaomi,Ultrabook,13.3,8,Nvidia GeForce MX150,1.3kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,No OS,1.3,266733.3
Lenovo,Notebook,17.3,8,Nvidia GeForce MX150,2.8kg,1600x900,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,No OS,2.8,186198.3
Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.62kg,1920x1080,1,0,1,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.62,223811.4
HP,Notebook,17.3,8,Nvidia GeForce 930MX,2.5kg,1920x1080,1,0,0,0,1.6,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.5,243818.4
Razer,Gaming,17.3,32,Nvidia GeForce GTX 1080,3.49kg,3840x2160,0,0,1,0,2.9,1,0,1TB,NaN,SSD,NaN,Windows - 10,3.49,162696.9
HP,Notebook,13.3,8,Intel UHD Graphics 620,1.49kg,1920x1080,0,0,0,0,1.6,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.49,255822.59999999998
HP,Gaming,17.3,16,Nvidia GeForce GTX 1050,3.35kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,3.35,36786.0
HP,Notebook,17.3,8,Nvidia GeForce 930MX ,2.5kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,278764.2
Dell,Gaming,15.6,16,Nvidia GeForce GTX 1060,2.65kg,3840x2160,1,0,0,0,2.8,1,0,512GB,1TB,SSD ,HDD,Windows - 10,2.65,49217.1
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.3,1,0,128GB,NaN,SSD,NaN,Windows - 10,2.1,131512.5
Acer,Notebook,15.6,8,Nvidia GeForce 940MX,2.23kg,1920x1080,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.23,197935.8
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,3.2kg,1920x1080,1,0,0,0,2.8,1,0,512GB,1TB,SSD ,HDD,Windows - 10,3.2,46656.299999999996
Dell,Workstation,15.6,16,Nvidia Quadro M1200,2.8kg,3840x2160,0,0,0,0,3.0,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.8,81495.0
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,2.4kg,1920x1080,0,0,0,0,2.8,1,0,512GB,NaN,SSD,NaN,No OS,2.4,37293.0
Dell,Notebook,15.6,6,Intel HD Graphics 620,2.3kg,1366x768,0,0,1,0,2.4,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.3,117107.4
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.21kg,3840x2160,1,0,1,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.21,51991.5
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.2kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.2,38653.5
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,2.2kg,1366x768,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,159255.6
Acer,Notebook,15.6,8,Nvidia GeForce GTX 1050,2.4kg,1920x1080,0,0,0,0,2.8,1,0,1TB,NaN,HDD,NaN,Linux,2.4,207805.8
Asus,Gaming,17.3,16,Nvidia GeForce GTX 1050,2.9kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.9,37533.0
HP,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1920x1080,0,0,0,0,2.0,1,0,500GB,NaN,HDD,NaN,No OS,2.1,93099.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,2.2kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,No OS,2.2,146451.0
Huawei,Ultrabook,13.0,8,Intel HD Graphics 620,1.05kg,2160x1440,1,0,0,0,2.7,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.05,39987.299999999996
Dell,Ultrabook,13.3,8,AMD Radeon 530,1.4kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.4,248588.09999999998
Lenovo,Notebook,17.3,8,Nvidia GeForce GTX 940MX,2.8kg,1600x900,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,No OS,2.8,157121.4
HP,Notebook,14.0,8,Nvidia GeForce 930MX,1.63kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.63,275029.5
Dell,Ultrabook,14.0,8,Intel UHD Graphics 620,1.6kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.6,30650.699999999997
Dell,2 in 1 Convertible,13.3,16,Intel UHD Graphics 620,1.62kg,1920x1080,0,0,1,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.62,34118.4
Dell,Notebook,15.6,8,AMD Radeon 520,2.2kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Linux,2.2,180689.69999999998
Lenovo,2 in 1 Convertible,14.0,8,Intel UHD Graphics 620,1.74kg,1920x1080,1,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.74,239817.0
Toshiba,Ultrabook,13.3,8,Intel HD Graphics 520,1.2kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.2,36359.1
HP,Notebook,15.6,8,Intel UHD Graphics 620,2.1kg,1920x1080,0,0,0,0,1.6,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.1,211807.19999999998
Dell,Gaming,17.3,16,Nvidia GeForce GTX 1060,4.42kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,4.42,65525.1
Acer,Notebook,15.6,8,Nvidia GeForce 940MX,2.2kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,221944.19999999998
Dell,Notebook,15.6,16,AMD Radeon R7 M445,2.3kg,1920x1080,0,0,1,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.3,229149.3
Asus,Notebook,15.6,8,Nvidia GeForce 920MX ,2kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.0,205138.19999999998
Asus,Notebook,17.3,8,Nvidia GeForce GTX 950M,2.69kg,1920x1080,0,0,0,0,2.5,1,0,256GB,500GB,SSD ,HDD,Windows - 10,2.69,237683.09999999998
HP,Notebook,15.6,8,AMD FirePro W4190M ,1.9kg,1920x1080,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,1.9,33851.7
Asus,Notebook,15.6,4,Intel HD Graphics 620,2.37kg,1366x768,0,0,0,0,2.4,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.37,106434.3
HP,Notebook,15.6,4,AMD Radeon R2,2.1kg,1366x768,0,0,0,0,1.5,0,1,500GB,NaN,HDD,NaN,Windows - 10,2.1,88030.8
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1060,3.2kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,3.2,39987.299999999996
Dell,Notebook,14.0,8,Intel HD Graphics 620,1.6kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.6,229146.6
Acer,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,1.6kg,1920x1080,1,0,1,0,2.3,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.6,183797.4
Dell,Notebook,15.6,16,AMD Radeon R7 M445,2.36kg,1920x1080,0,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Linux,2.36,239817.0
Acer,Notebook,15.6,4,Intel HD Graphics 520,2.1kg,1366x768,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Linux,2.1,104036.4
Asus,Notebook,15.6,4,AMD Radeon R5 M430,2.2kg,1920x1080,0,0,0,0,2.5,0,1,128GB,1TB,SSD ,HDD,Windows - 10,2.2,153387.0
Asus,Gaming,17.3,32,Nvidia GeForce GTX 1080,4.7kg,1920x1080,0,0,0,0,2.9,1,0,512GB,1TB,SSD ,HDD,Windows - 10,4.7,103769.4
Acer,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.5kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,225678.9
Lenovo,Notebook,15.6,8,Intel HD Graphics 520,2.2kg,1366x768,0,0,0,0,2.0,1,0,128GB,NaN,SSD,NaN,Windows - 10,2.2,157121.4
Asus,Notebook,17.3,8,Nvidia GeForce 150MX,2.1kg,1920x1080,0,0,0,0,1.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.1,30543.899999999998
Asus,Notebook,17.3,8,Nvidia GeForce GTX 950M,2.69kg,1920x1080,0,0,0,0,2.7,1,0,128GB,1TB,SSD ,HDD,No OS,2.69,237149.4
Dell,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.56kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.56,234481.8
Lenovo,2 in 1 Convertible,13.9,8,Intel HD Graphics 620,1.38kg,1920x1080,1,0,1,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.38,287833.8
Dell,Notebook,15.6,8,AMD Radeon 530,2.2kg,1920x1080,0,0,0,0,1.8,1,0,128GB,2TB,SSD ,HDD,Windows - 10,2.2,262758.6
HP,Notebook,15.6,8,Intel HD Graphics 620,2.04kg,1366x768,0,0,1,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.04,149118.6
Asus,Gaming,17.3,16,Nvidia GeForce GTX 1080,3.6kg,1920x1080,0,0,0,0,2.9,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.6,80001.3
HP,Notebook,13.3,4,Intel UHD Graphics 620,1.49kg,1920x1080,1,0,0,0,1.6,1,0,500GB,NaN,HDD,NaN,Windows - 10,1.49,180063.0
Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,1.37kg,2560x1600,1,1,0,0,3.1,1,0,512GB,NaN,SSD,NaN,macOS,1.37,54418.799999999996
Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,2.08kg,1920x1080,1,0,1,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.08,218476.19999999998
Asus,Gaming,17.3,16,Nvidia GeForce GTX 980M,4.3kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,4.3,47990.1
Asus,Notebook,15.6,4,AMD Radeon R5 M420,1.68kg,1366x768,0,0,0,0,3.0,0,1,1TB,NaN,HDD,NaN,Windows - 10,1.68,125110.2
Lenovo,2 in 1 Convertible,13.9,8,Intel UHD Graphics 620,1.37kg,1920x1080,1,0,1,0,1.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.37,49323.9
Acer,Notebook,17.3,4,Nvidia GeForce MX130,3kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.0,187265.4
Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,1.41kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.41,253155.0
HP,Notebook,15.6,8,AMD Radeon R4 Graphics,1.91kg,1366x768,0,0,0,0,2.5,0,1,128GB,NaN,SSD,NaN,Windows - 10,1.91,118948.2
HP,Notebook,17.3,16,Nvidia GeForce MX150,2.9kg,1920x1080,1,0,0,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.9,282498.6
MSI,Gaming,17.3,16,Nvidia GeForce GTX 1070,4.14kg,1920x1080,0,0,0,0,2.8,1,0,512GB,1TB,SSD ,HDD,Windows - 10,4.14,66663.3
Lenovo,2 in 1 Convertible,15.6,8,Nvidia GeForce GTX 1050M,2kg,1920x1080,1,0,1,0,2.8,1,0,512GB,NaN,SSD,NaN,Windows - 10,2.0,45322.5
Dell,Notebook,17.3,8,AMD Radeon 530,2.8kg,1920x1080,0,0,0,0,1.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.8,30463.8
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,2.2kg,1920x1080,0,0,0,0,2.0,1,0,256GB,NaN,SSD,NaN,No OS,2.2,118441.2
HP,Notebook,15.6,4,Intel HD Graphics 620,2.1kg,1920x1080,1,0,0,0,1.6,1,0,500GB,NaN,HDD,NaN,Windows - 10,2.1,192600.6
Dell,Notebook,15.6,4,Intel HD Graphics 620,2.18kg,1920x1080,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.18,175261.19999999998
Dell,Notebook,15.6,8,AMD Radeon R5 M430,2.24kg,1920x1080,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.24,150719.4
Dell,2 in 1 Convertible,15.6,8,Intel UHD Graphics 620,2.67kg,1920x1080,0,0,1,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.67,213141.0
Asus,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,1.1kg,1920x1080,0,0,1,0,1.8,1,0,512GB,512GB,SSD ,SSD,Windows - 10,1.1,39987.299999999996
Lenovo,Notebook,15.6,4,Intel HD Graphics 620,2.2kg,1920x1080,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,No OS,2.2,124576.79999999999
HP,Notebook,17.3,8,Nvidia GeForce 930MX ,2.5kg,1920x1080,0,0,0,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.5,271561.5
Lenovo,Notebook,15.6,8,Intel UHD Graphics 620,2.05kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.05,234748.8
Apple,Ultrabook,13.3,8,Intel Iris Graphics 550,1.37kg,2560x1600,1,1,0,0,2.9,1,0,512GB,NaN,SSD,NaN,macOS,1.37,52255.5
Asus,Gaming,17.3,16,AMD Radeon RX 580,3.2kg,1920x1080,0,0,0,0,3.0,0,1,256GB,1TB,SSD ,HDD,Windows - 10,3.2,41321.1
Dell,Notebook,15.6,8,AMD Radeon 520,2.14kg,1920x1080,0,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Linux,2.14,196087.19999999998
Lenovo,2 in 1 Convertible,14.0,16,Intel HD Graphics 520,1.36kg,2560x1440,0,0,1,0,2.6,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.36,66663.3
Toshiba,Notebook,15.6,8,Nvidia GeForce 930M,2.2kg,1366x768,0,0,0,0,2.5,1,0,500GB,NaN,HDD,NaN,Windows - 10,2.2,216609.0
Dell,Notebook,15.6,12,Intel HD Graphics 620,2.3kg,1366x768,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.3,190218.3
Dell,Notebook,17.3,8,AMD Radeon 530,2.8kg,1920x1080,0,0,0,0,1.8,1,0,128GB,1TB,SSD ,HDD,Linux,2.8,293169.0
Acer,Notebook,15.6,8,Nvidia GeForce MX130,2.2kg,1920x1080,1,0,0,0,1.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.2,198736.19999999998
Lenovo,Notebook,17.3,4,Intel HD Graphics 520,2.8kg,1600x900,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.8,130445.4
Lenovo,Notebook,17.3,8,Nvidia GeForce MX150,2.8kg,1920x1080,0,0,0,0,1.8,1,0,2TB,NaN,HDD,NaN,No OS,2.8,226479.0
Lenovo,Notebook,17.3,6,Nvidia GeForce 940MX,2.8kg,1600x900,0,0,0,0,2.7,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.8,229146.6
Dell,Notebook,15.6,4,AMD Radeon R5 M430,2.25kg,1920x1080,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Linux,2.25,114173.09999999999
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,2.5kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.5,221143.8
Lenovo,Notebook,15.6,6,Intel HD Graphics 620,2.2kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,154453.8
Acer,Notebook,15.6,8,Nvidia GeForce MX150,3kg,1920x1080,1,0,0,0,1.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.0,253688.69999999998
Acer,Notebook,15.6,12,Intel HD Graphics 620,2.15kg,1920x1080,1,0,1,0,2.7,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.15,175794.6
Lenovo,Notebook,15.6,8,Intel HD Graphics 630,1.95kg,1920x1080,1,0,0,0,2.7,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.95,292635.6
Asus,Ultrabook,15.6,8,Nvidia GeForce 940MX,1.7kg,1920x1080,0,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.7,260624.4
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,2.5kg,1920x1080,1,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.5,31450.8
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,2.2kg,1920x1080,0,0,0,0,2.7,1,0,1TB,NaN,HDD,NaN,No OS,2.2,175797.3
Acer,Notebook,15.6,2,Intel HD Graphics,2.19kg,1366x768,0,0,0,0,1.5,1,0,16GB,NaN,SSD,NaN,Chrome OS,2.19,53085.0
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,3kg,1920x1080,0,0,0,0,2.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,3.0,31664.399999999998
HP,Notebook,17.3,8,Intel HD Graphics 520,2.54kg,1600x900,0,0,0,0,2.0,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.54,130445.4
Dell,Notebook,15.6,8,Nvidia GeForce GTX 1050,2kg,1920x1080,0,0,0,0,2.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.0,48790.2
Lenovo,Notebook,15.6,8,Intel UHD Graphics 620,2.05kg,1920x1080,0,0,0,0,1.6,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.05,197135.4
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1060,3.2kg,1920x1080,1,0,0,0,2.8,1,0,1TB,NaN,HDD,NaN,Windows - 10,3.2,34652.1
Acer,Notebook,15.6,8,Nvidia GeForce GTX 1050 Ti,2.5kg,1920x1080,0,0,0,0,2.8,1,0,256GB,NaN,SSD,NaN,Linux,2.5,261157.8
Dell,Workstation,17.3,16,Nvidia Quadro M1200,3.42kg,1920x1080,0,0,0,0,2.9,1,0,256GB,NaN,SSD,NaN,Windows - 10,3.42,76956.3
Lenovo,Notebook,15.6,6,AMD Radeon R5 430,2.4kg,1920x1080,0,0,0,0,2.4,0,1,1TB,NaN,HDD,NaN,Windows - 10,2.4,133113.0
Asus,Ultrabook,15.6,16,Nvidia GeForce 940MX,1.63kg,1920x1080,0,0,0,0,2.7,1,0,512GB,NaN,SSD,NaN,Windows - 10,1.63,39160.2
Asus,Notebook,14.0,4,Intel HD Graphics 620,1.3kg,1366x768,0,0,0,0,2.4,1,0,128GB,NaN,SSD,NaN,Windows - 10,1.3,135780.6
Asus,Gaming,17.3,16,Nvidia GeForce GTX 1070,2.9kg,1920x1080,0,0,0,0,2.8,1,0,256GB,1TB,SSD ,HDD,Windows - 10,2.9,56606.4
Lenovo,Notebook,17.3,6,Nvidia GeForce GTX 940M,2.8kg,1600x900,0,0,0,0,2.5,1,0,1TB,NaN,HDD,NaN,Windows - 10,2.8,173127.0
Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,2.2kg,1366x768,0,0,0,0,2.5,1,0,2TB,NaN,HDD,NaN,No OS,2.2,146451.0
Asus,Gaming,15.6,8,Nvidia GeForce GTX 1050 Ti,2.5kg,1920x1080,0,0,0,0,2.8,1,0,128GB,1TB,SSD ,HDD,Windows - 10,2.5,33744.9
Lenovo,Notebook,15.6,4,Intel HD Graphics 505,2.2kg,1366x768,0,0,0,0,1.1,1,0,1TB,NaN,HDD,NaN,No OS,2.2,96030.9
HP,2 in 1 Convertible,13.3,16,Intel HD Graphics 620,1.28kg,1920x1080,0,0,1,0,2.8,1,0,256GB,NaN,SSD,NaN,Windows - 10,1.28,52685.1
Toshiba,Notebook,15.6,8,Nvidia GeForce 930M,2.2kg,1920x1080,1,0,0,0,2.5,1,0,256GB,NaN,SSD,NaN,Windows - 10,2.2,278230.5
